num_jobs 10000000 num_servers 2 seed 0 dist Hyperexp(1.9, 0.1, 0.95)
rho;SRPTExcept(2.0);SRPTExcept(2.5);SRPTExcept(3.0);SRPTExcept(3.5);SRPTExcept(4.0)
0.01;1.999471772298288;1.9994719130700227;1.9994719850561158;1.99947192835102;1.999471904377964
0.05;2.002547669505178;2.0025523995673873;2.0025558103629386;2.002557176728325;2.0025588783457318
0.1;2.0119129719090827;2.0119437205774044;2.011972433068452;2.011986349025706;2.012001368250481
0.15;2.0271881588209744;2.027279083640735;2.0273407497941545;2.0273895087381995;2.027424784337301
0.2;2.0481841015052984;2.048392541009413;2.0485232312121937;2.0486193123482375;2.0486921299272542
0.25;2.075091836752655;2.07547019324943;2.075711499015472;2.0759009624509503;2.076033838323351
0.3;2.108022317854221;2.1086082607601906;2.1090108267160597;2.10930159779543;2.1095234253404
0.35;2.147383302704052;2.1482461699212227;2.148821796348619;2.14925050653002;2.1495842874747746
0.4;2.1939250336618086;2.1951125409349;2.1958944678681025;2.1965144147587576;2.1969852612582494
0.45;2.2485201706330207;2.2500721331357165;2.2511341166189918;2.2519345774531767;2.252604654400848
0.5;2.312394647451184;2.3143715676100376;2.3157489786633216;2.316838971382589;2.317732152944429
0.55;2.387578893597701;2.390023813557568;2.391661595988394;2.3929928439914514;2.3941556135707094
0.6;2.4768385227540075;2.4797115892695962;2.481806180257627;2.4834285443024644;2.4848208811029755
0.65;2.58420293854658;2.5875128471762143;2.5898942204008573;2.5919296336490647;2.593690031251691
0.7;2.7161188740525746;2.7198316120057897;2.722542304886067;2.724872563456455;2.727039765457583
0.72;2.7779332922719413;2.7817662318704692;2.784650644002077;2.7870752705217807;2.7893058559036916
0.74;2.847142695875308;2.851000852241349;2.8539699121508697;2.8565190920128183;2.8589072887958653
0.76;2.924223090029963;2.928177201139281;2.931238277392142;2.9338836470884324;2.9363730655673557
0.78;3.011773683764671;3.015693457023544;3.018802183381575;3.0215798162338556;3.0242147968100577
0.8;3.111670970453711;3.115460077712068;3.1185421534547237;3.1212945214843573;3.123945219265627
0.82;3.2281163452442767;3.2316209498908015;3.2346117076435634;3.2373945436134517;3.2400750269415983
0.84;3.36545619041173;3.368870960895653;3.3717307359152153;3.3745456942128094;3.377312280193074
0.86;3.531346841464283;3.534340232836127;3.536906867075795;3.539553224583186;3.5421650975669428
0.88;3.739492955730389;3.7419589217288167;3.7442124840526105;3.746435013768624;3.7488965226658717
0.9;4.008579950345068;4.01038930950662;4.012157030885421;4.014115748896606;4.0161990107517545
0.903;4.05676584973755;4.058390684097314;4.060087585583445;4.061984565265456;4.064033125165871
0.906;4.107118788542242;4.108497723277781;4.110176780957272;4.112041913263076;4.114057434307955
0.91;4.179084215553859;4.180292203740051;4.181734767878885;4.18361887321275;4.1855191359189
0.913;4.2365337810954795;4.2375935230852;4.238858117173668;4.240592017095286;4.242530568100594
0.916;4.296975570778334;4.298021922537384;4.299122544556019;4.300736212152104;4.302620147947664
0.92;4.384814068094211;4.385514984807632;4.386524578709119;4.388151062772596;4.389960158839582
0.923;4.4543680856208425;4.455155340963197;4.456142082920947;4.4576618536411505;4.459568160648792
0.926;4.52775609544511;4.528279616876586;4.529187812031469;4.530590375471544;4.532421313241845
0.93;4.633372172518887;4.633681880183822;4.634392897216981;4.635499134831512;4.637122340271625
0.933;4.719649778232505;4.7196302565674815;4.720152594919607;4.721157037510996;4.7226808082039815
0.936;4.8110743846290305;4.810926603213389;4.811457224320096;4.812220075851373;4.813612974830188
0.94;4.942533516628073;4.942101971656817;4.942398378179626;4.943109161661784;4.944250733405506
0.943;5.050353662193507;5.0496963864121724;5.049844328067483;5.050528020950486;5.051526035315035
0.946;5.168715828395537;5.1677522657030535;5.167579314964218;5.168201751755167;5.169168081997844
0.95;5.343237301712782;5.341807414952351;5.341371284825252;5.341541899530393;5.34238133000989
0.952;5.438689495704585;5.437466951014407;5.436955256160766;5.437174028265488;5.437981323960291
0.954;5.5408444993133195;5.539519124522665;5.53899584133754;5.539167976860028;5.539810232829648
0.956;5.649692611113939;5.648172027819942;5.647634043143369;5.647796680475411;5.648378302821879
0.958;5.765074047774629;5.76329824932369;5.7625940705348055;5.762507305026671;5.7629384809317585
0.96;5.8905653563719165;5.888399557861538;5.887520519081871;5.887398024437009;5.887448093511943
0.962;6.025952958855103;6.023869110221008;6.022861890768209;6.022850652060377;6.023045152840573
0.964;6.172649980998771;6.170459357838437;6.169275838060643;6.169206264645776;6.169353166674714
0.966;6.3365121834077645;6.334186288267694;6.333011786585364;6.332770563793506;6.332655042604798
0.968;6.518225761740221;6.515549357317989;6.5143731673251;6.513799249761494;6.513605557993523
0.97;6.723161758417648;6.720129159374908;6.718901235070634;6.718299906694919;6.718161128100761
0.972;6.951468501524837;6.948468985737516;6.946990011383541;6.946499259568356;6.946412017183091
0.974;7.214000738172695;7.210868257747031;7.209122597927291;7.208491092083718;7.208150380183433
0.976;7.519974177316853;7.516490908817661;7.513997481084687;7.512694032128492;7.5123766459064365
0.978;7.875691274049923;7.871929806529793;7.869504055883125;7.868226702926025;7.867458107858163
0.98;8.283542730685735;8.279417093128863;8.276873377784282;8.275170823311994;8.274399616285452
0.983;9.049897798871282;9.044391392455912;9.041977106955727;9.039985527147142;9.038477102911498
0.986;10.09445604124274;10.089174480159855;10.086671089659818;10.084335048432347;10.082173725193408
0.99;12.384874491002458;12.378118729173345;12.375021000165994;12.372610112347683;12.370275590338242
0.993;15.20944266829727;15.203953850366648;15.200549673655924;15.197847948750582;15.196187876071832
0.996;19.816267491662135;19.811459955898734;19.80399468044517;19.801401836079;19.798153013557158
