num_jobs 100000000 num_servers 2 seed 0 dist Hyperexp(1.0, 1.0, 1.0)							
rho	SRPT	SRPTExcept(0.5, 0.5)	SRPTExcept(1.0, 1.0)	SRPTExcept(1.5, 1.5)	SRPTExcept(2.0, 2.0)	SRPTExcept(3.0, 3.0)	SRPTExcept(4.0, 4.0)
0.01	2.000085078	2.000085224	2.00008543	2.000085615	2.000085612	2.000085307	2.00008518
0.05	2.003150281	2.003161499	2.003193542	2.003208292	2.003203349	2.003177909	2.003161555
0.1	2.012285979	2.012358186	2.012576128	2.01268539	2.012651204	2.012474575	2.012362647
0.15	2.027010754	2.02721078	2.027853089	2.028187439	2.028090777	2.027574649	2.027239868
0.2	2.047195089	2.047583993	2.048923744	2.049658243	2.049484447	2.048393328	2.047682585
0.25	2.073030538	2.073658138	2.07596871	2.077306166	2.077048909	2.075162336	2.073906341
0.3	2.104925255	2.105812252	2.109358418	2.111541712	2.111252674	2.108320451	2.106334043
0.35	2.143483716	2.144618718	2.149616786	2.152930267	2.152682814	2.148519112	2.14558588
0.4	2.18967296	2.191020679	2.197622376	2.202346991	2.202297665	2.196754672	2.192665994
0.45	2.244849399	2.246340678	2.254622488	2.261094751	2.26143531	2.254440228	2.248962089
0.5	2.310901622	2.312412434	2.322386064	2.330910684	2.331949905	2.323494929	2.316392009
0.55	2.390645742	2.39202913	2.403560292	2.414420897	2.416526804	2.406791101	2.397828968
0.6	2.488155837	2.48919648	2.502024733	2.515498961	2.519125417	2.508518286	2.497461937
0.65	2.609600039	2.610093054	2.623733863	2.639949277	2.645701103	2.63491048	2.621587215
0.7	2.764787332	2.764425059	2.778258704	2.79726731	2.805795316	2.795940219	2.780274418
0.72	2.839773453	2.83897942	2.852565708	2.872623998	2.88248293	2.873438103	2.856914036
0.74	2.924377281	2.923076628	2.936230882	2.957242978	2.968535234	2.960605617	2.943329716
0.76	3.020663814	3.018810808	3.031375369	3.053232426	3.066048155	3.05958107	3.041640074
0.78	3.131577736	3.129098401	3.140805043	3.163375582	3.177741374	3.173244513	3.154813311
0.8	3.260787925	3.257632565	3.268224394	3.29125525	3.307308825	3.305267002	3.286591177
0.82	3.413498726	3.409609551	3.418752668	3.442019939	3.459735787	3.46067294	3.442077613
0.84	3.597614443	3.592930836	3.600350962	3.623465238	3.6427147	3.647274006	3.629277338
0.86	3.825011678	3.819473369	3.824789089	3.847364744	3.868117194	3.876815554	3.860074781
