num_jobs 100000000 num_servers 2 seed 0 dist Hyperexp(1.9, 0.1, 0.95)
rho;SRPT;SRPTExcept(0.5);SRPTExcept(1.0);SRPTExcept(1.5)
0.75;2.874341101933363;2.8719440580656546;2.8754090989597345;2.881919374419591
0.76;2.915118425032491;2.912428220500664;2.9154340868569113;2.921746627510267
0.78;3.0047957629270323;3.0014407050190384;3.003417563120408;3.009232556816394
0.8;3.10776320703838;3.103667989598522;3.1043744129284776;3.1094798135088815
0.82;3.227538768278966;3.2226294701692413;3.2218231428208983;3.22606832152354
0.84;3.3694686754152463;3.363759822669703;3.3613065453760957;3.364389958740531
0.86;3.5413747908138324;3.534648245233021;3.530231098134048;3.532026761536585
0.88;3.7561701886424084;3.7484848173199112;3.7417296955772614;3.7418548676654955
0.9;4.035763493471501;4.027059679339823;4.017716875390418;4.01573017837464
0.903;4.085366192776333;4.076478656184009;4.066734087366557;4.064443402126575
0.906;4.1375130143529395;4.128496712659286;4.118324660423604;4.115690798297903
0.91;4.211158696080947;4.201972018644593;4.191313362425964;4.188171044297596
0.913;4.270010864764755;4.260653039746776;4.249537958773062;4.246086351066553
0.916;4.332131959569737;4.322589869397885;4.311027426851499;4.3071892783113395
0.92;4.4208839455080495;4.411155571710575;4.399067660181426;4.394752746770721
0.923;4.491745208060671;4.481934123812233;4.469436990563436;4.4648143190019605
0.926;4.567460326319505;4.55739616799883;4.544441157823989;4.539359268042602
0.93;4.6768741318033875;4.6666231232831015;4.653076814114372;4.647480004271207
0.933;4.765895675832556;4.7554527572908505;4.741401484621163;4.7354009639232855
0.936;4.861952196665792;4.851329185842648;4.836810713568862;4.830328474200985
0.94;5.00229483051404;4.991557729844457;4.976377424138703;4.969432504009883
0.943;5.118219929536766;5.1073303073666105;5.091756139303334;5.084251952965188
0.946;5.2444876615485425;5.233527550441497;5.217537474146251;5.209657235231207
0.95;5.433296345116868;5.4221690621326415;5.405552065594445;5.396944254619572
0.952;5.538059436673867;5.526823317179438;5.509867014508481;5.501043820972176
0.954;5.649558288850718;5.638240926459452;5.621142829620942;5.612001127346886
0.956;5.7698441909215745;5.7584271715793935;5.741074564459237;5.731659518749386
0.958;5.89970066253103;5.888244556640571;5.870434796436161;5.860743367058183
0.96;6.039886868340602;6.0284493972091555;6.010263826724155;6.000293762696827
0.962;6.192193342694255;6.180613157590381;6.162065016416739;6.151694396061603
0.964;6.361120735610836;6.349402841112718;6.330434500492518;6.31968250509898
0.966;6.547078006620582;6.535392830470442;6.51630283509457;6.5052827935954465
0.968;6.754018152032507;6.742331535503893;6.723076100074565;6.711896663363542
0.97;6.98566900722831;6.9740176840515;6.9544252455960445;6.942760657833779
0.972;7.245538192876034;7.2339159545913505;7.214293609089856;7.202674643856861
0.974;7.5446520686811684;7.532816257333112;7.512674635926187;7.500709447538442
0.976;7.89131558094435;7.879350468450253;7.858677241497879;7.8461890794653275
0.978;8.298206507866928;8.286265154954917;8.265261139703323;8.252523511799007
0.98;8.78100910397089;8.76902934215463;8.74833153803295;8.735244393945981
0.983;9.69067212367612;9.67884651282403;9.657568375327982;9.643836825806789
0.986;10.98881816988918;10.97756092636728;10.956901060009477;10.943598336543625
0.99;13.909256462573104;13.898035957611183;13.87678764822433;13.862247931350032
0.993;17.895930771194283;17.885293264039284;17.86359044351052;17.848169617855728
0.996;27.208056184362817;27.197966692113194;27.176611714464745;27.16148843772312
