num_jobs 100000000 num_servers 2 seed 0 dist Hyperexp(1.0, 1.0, 1.0)
rho;SRPT;SRPTExcept(0.5, 0.5);SRPTExcept(1.0, 1.0);SRPTExcept(2.0, 2.0);SRPTExcept(3.0, 3.0);SRPTExcept(4.0, 4.0)
0.01;2.000085077828915;2.0000852244652028;2.00008542967914;2.0000856121686117;2.000085307290388;2.000085180409422
0.05;2.0031502811803907;2.0031614990668123;2.003193542397553;2.003203349316843;2.003177909315931;2.003161555171096
0.1;2.0122859787810476;2.0123581862435307;2.012576127892446;2.012651204339737;2.0124745749632895;2.012362647228638
0.15;2.0270107543549734;2.027210780133716;2.0278530886441346;2.028090776854744;2.02757464878784;2.0272398684062467
0.2;2.0471950890853976;2.0475839931246163;2.048923743898998;2.0494844466499416;2.0483933275781365;2.0476825846105897
0.25;2.073030537985723;2.0736581384308685;2.0759687104036715;2.0770489088216;2.075162335948888;2.0739063411227145
0.3;2.1049252545980743;2.105812252434965;2.1093584181108844;2.111252673935068;2.1083204511863807;2.1063340430561577
0.35;2.143483715692258;2.144618717730429;2.1496167864649682;2.1526828135991947;2.1485191120798213;2.145585879734272
0.4;2.1896729603189735;2.1910206791979716;2.197622376298183;2.2022976649692065;2.19675467215605;2.19266599424844
0.45;2.244849398786527;2.2463406776054513;2.254622488426416;2.2614353099653477;2.2544402279035105;2.248962088723193
0.5;2.3109016224263836;2.3124124335547065;2.3223860639912686;2.331949905338913;2.3234949292111535;2.316392008694051
0.55;2.390645741777878;2.3920291298756595;2.403560292053256;2.4165268041583814;2.4067911008930225;2.397828968239839
0.6;2.4881558369093852;2.489196480393499;2.5020247333374455;2.5191254168644432;2.5085182862381825;2.497461937185932
0.65;2.6096000388608487;2.6100930536254716;2.6237338630677653;2.6457011029961066;2.634910479799447;2.6215872151291295
0.7;2.7647873320303233;2.7644250591263537;2.7782587035952773;2.805795316138414;2.7959402191768805;2.78027441768658
0.72;2.8397734527870537;2.83897942036167;2.852565708245492;2.8824829301800348;2.8734381033942937;2.8569140364893424
0.74;2.924377280932515;2.923076627818173;2.9362308823824717;2.9685352341363727;2.9606056168369137;2.943329716102567
0.76;3.020663813843876;3.018810808410809;3.0313753691175305;3.066048155227265;3.0595810698023103;3.0416400742709446
0.78;3.1315777357278525;3.129098400661186;3.1408050426262593;3.177741373856938;3.173244513228694;3.154813310658692
0.8;3.2607879246901454;3.2576325650459004;3.268224394441154;3.307308825062451;3.305267002271304;3.2865911768049036
0.82;3.4134987257904936;3.4096095507602846;3.4187526684827767;3.459735787386695;3.4606729400758685;3.442077612539568
0.84;3.597614443151914;3.5929308361039247;3.6003509617225755;3.6427147000477245;3.647274005756868;3.6292773375820935
0.86;3.825011678203057;3.8194733694821514;3.824789088542607;3.8681171944421315;3.876815553648502;3.8600747806061113
