num_jobs 10000000 num_servers 2 seed 0 dist Hyperexp(1.0, 1.0, 1.0)
rho;SRPT;SRPTExcept(0.1);SRPTExcept(0.2);SRPTExcept(0.5);SRPTExcept(1.0);SRPTExcept(1.5);PSJF;RS
0.01;1.9999180076861873;1.999918007686232;1.999918016404929;1.9999181865981865;1.999918314351467;1.9999185039150849;1.9999375488839515;1.9999196508400046
0.05;2.0029613690579007;2.002961448976261;2.002961886027316;2.002973973991725;2.0030039338863204;2.003019903184933;2.0034368459035377;2.003007373211665
0.1;2.012077921674761;2.0120781977386684;2.0120817095309476;2.0121511467787268;2.0123691730151227;2.0124730942429685;2.0141327116547303;2.0123106177098142
0.15;2.026893731430961;2.026894329372584;2.026903416973787;2.027097899150541;2.027753455419344;2.028086723288728;2.0316942823962623;2.027506703611179
0.2;2.047163216034106;2.0471636917677785;2.0471808288344366;2.0475523598784164;2.048909481233518;2.049629456551845;2.0560403712328084;2.048362563053695
0.25;2.073041645005059;2.073040982914812;2.073064818745292;2.073671487279381;2.075997423186478;2.0773465318629647;2.0875120746164737;2.0750501908872314
0.3;2.1049936793545254;2.104991037665677;2.1050208585255588;2.1058916389907103;2.1094392960554877;2.111651800964464;2.12655018828955;2.108092841498806
0.35;2.14372627605684;2.1437206282749726;2.1437467501589853;2.1448696727449073;2.1498789613530325;2.1532058282992894;2.1743239506191796;2.1481684817563362
0.4;2.1900780229955346;2.190068736932437;2.190087723948263;2.191434819256985;2.1981023121106595;2.2028296102728935;2.2317951504009637;2.1961999580653178
0.45;2.2454119203380967;2.2453943512059955;2.2453883826742573;2.2468959829429256;2.2552620765444678;2.2617855531820554;2.300428557299154;2.2535097337670957
0.5;2.3116524797741658;2.311626985884393;2.3115918502899753;2.3131375729310997;2.3231999080314285;2.3317591317149593;2.3829524349390967;2.3222048839256773
0.55;2.39179651735202;2.391756294145762;2.3916719659021797;2.393166817148057;2.4047825959606115;2.4156326597667257;2.4829123691016344;2.4051167576017787
0.6;2.489663864009969;2.489610215819165;2.489453093562047;2.4907367133379927;2.5037061274672046;2.5172009844390817;2.6047918146964686;2.5063652293382375
0.65;2.6114571283847057;2.611383432602361;2.6111339311796784;2.611975176100563;2.625660714268112;2.6419363912126057;2.756213871701913;2.6322248556632584
0.7;2.766961220199939;2.7668670347362787;2.76650236679672;2.7665470047029994;2.780472895911282;2.7995645863655727;2.949236259927866;2.792355388258881
0.72;2.842329942631174;2.8422232824210285;2.8418179213074417;2.8414717951013206;2.8549806152146227;2.875132239118151;3.042271133648015;2.8699846629248613
0.74;2.927335416925542;2.9272215636925787;2.926746572789102;2.9259682350167098;2.938942433328646;2.9599115781881324;3.146878791058985;2.957425038477405
0.76;3.0241264431786568;3.0240049942997307;3.0234807263441006;3.022168267936219;3.0345012710761408;3.056165399224535;3.265794578149722;3.0568056223897284
0.78;3.135767878466884;3.135629149337948;3.1350376390891133;3.1331650796643657;3.1447561170452034;3.167145618440202;3.403139967612762;3.1713364710694756
0.8;3.2658604257051094;3.2657172914003625;3.2650621369643464;3.2626417175725093;3.2730411282344036;3.29598204503353;3.560697691400089;3.3045059768481235
0.82;3.419611899490338;3.419456425084349;3.4187228790702022;3.4156599313892775;3.424737828853473;3.4477795033684933;3.7468805794483058;3.4618755649550317
0.84;3.604887462591343;3.604719889937266;3.6039260418860057;3.600167375043113;3.6074902692902557;3.6305879551514044;3.9694410768025086;3.6510351299890274
0.86;3.8347573178962553;3.8345839010792604;3.833726688181827;3.8291047679575674;3.834134592340391;3.856792173116578;4.2445245912224765;3.8852179045645183
0.88;4.128103561823491;4.127910031540624;4.126987749613811;4.121597014191089;4.123937511092592;4.1450254759419325;4.590624832652216;4.183959296199056
0.9;4.517084408256198;4.5168729353027866;4.51590161948878;4.509752339743726;4.5092951430166215;4.528746103006102;5.044658346433788;4.57847544302558
0.903;4.5871822486225975;4.586981207949747;4.5859878234564695;4.5797723116875275;4.57865778127046;4.597709834769164;5.125484373730794;4.649276350894156
0.906;4.660899980529238;4.66069857790401;4.659703824718888;4.6533427869203985;4.651891650759533;4.670566732184073;5.210267597502539;4.724331410800889
0.91;4.765503274376287;4.765290333057095;4.7642775223943845;4.7577222760089235;4.755383981137869;4.773649131634716;5.333104493255548;4.830280917228915
0.913;4.849431118180206;4.849218491654039;4.848212883973268;4.841508740158005;4.838884360638615;4.856472657656371;5.42974531955396;4.915090840121604
0.916;4.93813719204019;4.937922665131844;4.936902302224907;4.930121829173577;4.926882255564377;4.9439673199859;5.531552619636573;5.0051173843304575
0.92;5.065940984354973;5.065721589002132;5.064675344184774;5.0576840340036515;5.053700249959433;5.06983223996134;5.677691528726959;5.134315401596756
0.923;5.168602324982578;5.168394923951616;5.167328377457959;5.160250146644161;5.155462138489182;5.171151818039131;5.795794451620555;5.238383742199744
0.926;5.278022943423045;5.277808930784154;5.276770667853461;5.269550542499298;5.264357858734616;5.279522756104228;5.922963738770172;5.349210595819847
