num_jobs 100000000 num_servers 2 seed 0 dist Uniform(0.0, 2.0)
rho;SRPT;SRPTExcept(0.5);SRPTExcept(1.0);SRPTExcept(1.5)
0.75;3.1001991503875233;3.0987318961880828;3.119801066545287;3.1304457123452387
0.76;3.163109490549348;3.161367694274206;3.1821301930242516;3.19374925766463
0.78;3.3052141587778525;3.3028916105852835;3.3228201809472995;3.336509935306439
0.8;3.4745941157302522;3.4715972475408132;3.4903575266860254;3.506094573567326
0.82;3.679881218419733;3.676210245898059;3.693428748084298;3.711287711183449
0.84;3.934189930261315;3.929715697933444;3.944922342802156;3.964892022869997
0.86;4.2583206537957725;4.253031277662523;4.265730975784301;4.28760225457116
0.88;4.686256367349932;4.680053921947893;4.68970881585949;4.713307401066574
0.9;5.279803984302862;5.272583672615678;5.278486529087118;5.303394604363382
0.903;5.3891904775397315;5.381809324415807;5.387142717186355;5.412224345819622
0.906;5.505294163812258;5.497765933516675;5.502476340852245;5.5276784144202935
0.91;5.671707457891267;5.663980774740063;5.667826926761571;5.693157637555267
0.913;5.806259993517898;5.798380818044114;5.801499664477133;5.826970736462476
0.916;5.950034174522506;5.9419780165345015;5.9444477595555405;5.969963349485184
0.92;6.158311999567127;6.150020213261831;6.151530586631885;6.177125703484923
0.923;6.328268425038296;6.319866498048258;6.320589127327071;6.346232973275368
0.926;6.511553464760424;6.502998854789437;6.502920069894322;6.528560554375014
0.93;6.779405460729475;6.770641124865486;6.769593925136044;6.795173341398596
0.933;7.0012553312395625;6.992289036384014;6.990416304096495;7.015917997805613
0.936;7.2434370368172685;7.234311081347369;7.231614658784039;7.257050960248405
0.94;7.603851598472507;7.594480927571411;7.5907360035646425;7.61598655158173
0.943;7.907354690826876;7.897876812466366;7.893190271363213;7.9183587093283965
0.946;8.243895042534124;8.234235403355937;8.228695571064828;8.253666119585526
0.95;8.754833641327194;8.744896870903105;8.738120703217358;8.762827140759704
0.952;9.041893966403357;9.031849478879558;9.024547580855735;9.048943595795203
0.954;9.353671714080477;9.34350316477832;9.335577354828642;9.359787210745232
0.956;9.69295139198969;9.682684601606288;9.674028418839251;9.698130636194334
0.958;10.06319236109892;10.052863960270923;10.043443922240897;10.067369747341536
0.96;10.469518610017918;10.459009281972145;10.449044754664033;10.472693681066714
0.962;10.918356868543963;10.907734731996912;10.897032699278622;10.920369676994849
0.964;11.416180811922633;11.40541880996134;11.394034392925944;11.417122251344422
0.966;11.97225194999637;11.961365945886103;11.949450560229979;11.972006083850141
0.968;12.595217572460577;12.584139660636737;12.571718152662463;12.593814729346974
0.97;13.3014938653348;13.290351025684119;13.277169811465294;13.298955874727355
0.972;14.10864178542821;14.097337408447508;14.083336683885166;14.104874602191332
0.974;15.038481883761232;15.027029570500236;15.012265293063166;15.033551416538808
0.976;16.12034497818626;16.10889836654786;16.09310697619901;16.11404506793838
0.978;17.39775149793788;17.38620882467336;17.36975095269124;17.389993146097474
0.98;18.926805738321015;18.91520140896242;18.897861882739;18.91734961711211
0.983;21.904322165738293;21.892219743285494;21.87378005941051;21.892337793993185
0.986;26.156753072907534;26.144218924252506;26.124662423990635;26.142093017506475
0.99;35.76810305456958;35.75514464172772;35.734293256937924;35.74998656310841
0.993;50.110981489587914;50.0983936400034;50.07601204610613;50.09028781968476
0.996;86.10223328486259;86.08949254613452;86.0631192726862;86.07820118760486
